Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
Which of the following scenarios constitutes a 'caught-between' hazard?,multiple-choice,A worker is hit by a piece of flying debris from a chipping gun.,Incorrect: This is a struck-by (flying object) hazard.,A worker's glove is snagged by the rotating chuck of a drill press.,Correct: This is a caught-in/between hazard where a part of the worker's body is pulled into or between moving parts of a machine.,A load slips from a crane hook and lands on a worker's foot.,Incorrect: This is a struck-by (falling object) hazard.,A worker trips over an extension cord and falls.,"Incorrect: This is a slip, trip, and fall hazard, not a caught-between.",,,,,2,"Recognizing the specific type of hazard is key. A 'caught-in' or 'caught-between' hazard involves a person, or a part of their body, being caught, crushed, squeezed, compressed, or pinched between two or more objects, or between parts of an object. A glove being snagged by a rotating machine part is a classic example that can lead to horrific injuries.",Caught-In/Between Hazards
"A worker is part of a 3-person crew in a 12-foot deep trench with a single ladder for egress. One worker is at the far end of the trench, 40 feet away from the ladder. This is a violation because:",multiple-choice,There should be at least two ladders in a trench this deep.,Incorrect: The number of ladders is not specified; the travel distance is the key factor.,The trench is over 10 feet deep and requires an engineered protective system.,"Incorrect: This may be true, but it's not the violation related to egress.",A worker's lateral travel distance to an exit must not exceed 25 feet.,"Correct: 29 CFR 1926.651(c)(2) requires that in any trench 4 feet or deeper, a safe means of egress must be located so as to require no more than 25 feet of lateral travel for employees.",The crew size is too large for a single ladder.,"Incorrect: The rule is based on travel distance, not the number of workers.",,,,,3,"The 25-foot egress rule (1926.651(c)(2)) is a critical life-safety measure in trenching. In the event of a sudden hazard like a partial collapse or a hazardous atmosphere, workers must be able to escape quickly. Limiting the travel distance to an exit to 25 feet ensures that no worker is ever too far from a way out.",Excavation & Trenching
"An electrical cord's insulation is frayed, exposing the copper conductors. The tool it's connected to still works, so an employee wraps the frayed section with black electrical tape and continues to use it. This action is a violation because:",multiple-choice,Only a qualified electrician is allowed to apply electrical tape.,"Incorrect: The issue isn't who applies the tape, but that the tape is an improper repair.",The tape should have been yellow to indicate a repair.,Incorrect: Color-coding tape is not the standard for this type of repair.,Flexible cords may not be repaired with tape; they must be replaced or properly re-spliced.,"Correct: 29 CFR 1926.416(e)(1) states that worn or frayed electric cords shall not be used. While splicing is permitted if done correctly (to retain insulation and strength), simply taping over a break is not a recognized or safe repair method.",The tool should have been taken out of service and tagged 'Defective'.,"Correct: A frayed cord renders the equipment defective. This is also a correct answer. Let me re-evaluate. Both C and D are correct actions/violations. C describes WHY the repair is a violation. D describes the required ACTION. The question asks why the action is a violation. The action is taping and continuing to use"". That action is a violation because ""cords may not be repaired with tape"". This is a better fit for the question.""",,,,,3,"Using tape for a temporary patch on a damaged electrical cord is a common but dangerous violation. OSHA standards require that damaged cords be removed from service. A proper repair involves cutting out the damaged section and installing a code-compliant splice, a task for a qualified person. A simple tape wrap does not restore the cord's original insulation value or physical strength and can lead to shock or fire.",Electrocution
A full-body harness manufactured in January 2018 has never been used and has been stored in its original sealed bag in a climate-controlled warehouse. A supervisor inspects it and sees no visible damage. Can it be put into service in 2025?,multiple-choice,"No, all harnesses have a strict 5-year service life from the date of manufacture.","Incorrect: This is a common myth. Most manufacturers recommend a service life, but OSHA does not mandate a specific expiration date. Service life depends on inspection and condition.","Yes, as long as a competent person inspects it and finds it to be in safe condition.","Correct: OSHA 1926.502(d)(21) requires inspection by a competent person. There is no OSHA-mandated expiration date. If the harness passes the rigorous inspection, it can be used, regardless of its age. Manufacturer guidelines should be consulted but are not law.","No, it must be proof-tested by a laboratory before its first use.","Incorrect: Proof-testing is for design validation by the manufacturer, not for individual harnesses before use.","Yes, but only for light-duty work, not for fall arrest.","Incorrect: If it is deemed safe for service, it is safe for its intended purpose, which is fall arrest.",,,,,2,"The '5-year rule' for harnesses is a widespread misconception. OSHA requires that personal fall arrest systems be inspected for damage before each use and annually by a competent person. The decision to keep a harness in service is based on its condition as determined by these inspections, not its age. Manufacturer recommendations should be considered, but a competent person makes the final determination based on inspection.",Fall Protection
"A worker is grinding a metal pipe, sending a shower of sparks toward a pile of cardboard boxes and oily rags 15 feet away. This is a violation of which specific hot work requirement?",multiple-choice,The worker is not wearing leather gloves.,"Incorrect: While PPE is important, the primary violation is the failure to control ignition sources.",A fire watch is not posted.,"Incorrect: A fire watch is required when combustibles are within 35 feet, but the first step is to move them.",Combustibles were not moved or protected from the ignition source.,"Correct: 29 CFR 1926.352(d) states that if the object to be welded or cut cannot be readily moved, all movable fire hazards in the vicinity shall be taken to a safe place. If they cannot be moved, they must be protected with fire-resistant guards.",The grinder does not have a proper safety guard.,"Incorrect: While a guard is required for the tool, the violation here is related to the hot work process and fire prevention.",,,,,3,"Hot work safety is paramount to prevent fires. The fundamental rule, per 1926.352(d), is to separate the fuel from the ignition source. The first and best option is always to move any combustible materials (like cardboard and oily rags) out of the area. Allowing sparks to fly toward a known fuel source is a direct and serious violation of hot work procedures.",Struck-By Hazards
"In the hierarchy of controls, which of the following is an example of an 'administrative control' for reducing noise exposure?",multiple-choice,Providing workers with high-NRR earmuffs.,"Incorrect: Earmuffs are Personal Protective Equipment (PPE), which is the lowest level in the hierarchy.",Installing sound-dampening enclosures around a noisy generator.,"Incorrect: This is an engineering control, which is higher on the hierarchy than an administrative control.",Rotating workers between high-noise and low-noise tasks throughout the day.,"Correct: Job rotation is a classic administrative control. It doesn't eliminate the noise, but it limits an individual worker's duration of exposure by changing the way people work.",Replacing a noisy pneumatic tool with a quieter battery-powered model.,"Incorrect: This is an example of substitution, a type of engineering control that is high on the hierarchy.",,,,,3,"Understanding the hierarchy of controls is key to effective safety management. Administrative controls are changes to work policies or procedures. Job rotation is a prime example because it mitigates the hazard's effect on an individual by limiting their exposure time, rather than by physically removing or isolating the hazard itself.",Health Hazards
A worker must enter a 6-foot deep trench to retrieve a tool. The trench is in Type B soil and has vertical walls with no protective system. The worker plans to be in the trench for 'only 30 seconds.' Why is this action a serious OSHA violation?,multiple-choice,The worker is not wearing a hard hat.,Incorrect: PPE is secondary. The primary hazard is the imminent threat of collapse.,"A trench can collapse in seconds, and entry for any duration without protection is prohibited.","Correct: 29 CFR 1926.652(a)(1) requires protection against cave-ins in excavations 5 feet or deeper, unless in stable rock. The duration of entry is irrelevant, as a collapse can be instantaneous and fatal.",The tool should be retrieved using a hook or magnet.,"Incorrect: While a good idea, the core violation is the prohibited entry into an unprotected trench.",The soil has not been tested by a qualified person.,"Incorrect: The competent person tests the soil. Even if tested, entry into a 6-foot vertical trench in Type B soil is prohibited without protection.",,,,,2,"There is no 'safe' amount of time to be in an unprotected trench. Cave-ins happen without warning. OSHA's standard, 1926.652(a)(1), requires protection for any employee in an excavation 5 feet or deeper. The belief that one can be 'in and out' before a collapse is a deadly misconception and a willful violation of a critical safety rule.",Excavation & Trenching
What is the key functional difference between the orange D-ring on the back of a harness and the silver D-rings on the hips?,multiple-choice,The orange color signifies it's the primary anchor point.,"Incorrect: The color is for visibility, not a functional designation. The position determines the function.",The back (dorsal) D-ring is for fall arrest; the hip D-rings are for work positioning.,"Correct: The dorsal D-ring is positioned to keep the body upright during a fall arrest event. The side/hip D-rings are for attaching positioning lanyards, which allow a worker to be supported while working with both hands free on a vertical surface. They are not for fall arrest.",The back D-ring has a higher strength rating than the hip rings.,"Incorrect: All D-rings on a harness must meet high strength requirements, but they are designed for different types of loading.",The hip D-rings are only for carrying tools.,"Incorrect: Hip D-rings are specifically designed as connection points for positioning lanyards, not for tool storage.",,,,,2,"A full-body harness is a multi-function tool, and using the correct attachment point is critical. The dorsal D-ring is the only acceptable attachment point for a fall arrest system (1926.502(d)). Using hip D-rings for fall arrest can cause serious injury because they are not designed to distribute the impact forces of a fall throughout the body. They are solely for work positioning systems.",Fall Protection
"A forklift operator, traveling with a large load that obstructs their forward view, decides to drive forward while looking around the side of the load. This is a violation of which safe operating procedure?",multiple-choice,The operator must use a spotter to guide them.,"Incorrect: While a spotter is an option, it's not the primary required procedure.",The operator must drive in reverse to have a clear line of sight.,"Correct: 29 CFR 1910.178(n)(4) states that if the load being carried obstructs the forward view, the driver shall be required to travel with the load trailing (i.e., in reverse).",The operator must honk the horn continuously while moving forward.,"Incorrect: Honking is for intersections and blind spots, but it does not replace the need for a clear view of the travel path.",The load should be lifted higher to see underneath it.,Incorrect: Lifting a load high while traveling is extremely unstable and is a separate violation.,,,,,2,"Safe operation of a powered industrial truck (forklift) requires the operator to have a clear view of the path of travel. OSHA standard 1910.178(n)(4) is explicit: if the load blocks the view, the operator's only option is to drive in reverse (or use a spotter, though reversing is the default procedure). Driving forward 'peeking' around the load is a dangerous and direct violation.",Struck-By Hazards
An employee is mixing concrete in a wheelbarrow. Which action would constitute a potentially hazardous ergonomic risk factor?,multiple-choice,Wearing nitrile gloves instead of leather gloves.,"Incorrect: This is a PPE choice, not an ergonomic risk factor.","Using a shovel with a short handle, requiring the worker to bend over repeatedly.","Correct: This creates a combination of awkward posture (deep forward bend) and forceful exertion, which are primary risk factors for back injuries.",Adding water to the concrete mix too quickly.,"Incorrect: This is a quality issue, not an ergonomic one.",Working in direct sunlight without a break.,"Incorrect: This is a heat stress hazard, which is different from an ergonomic/musculoskeletal hazard.",,,,,2,"Ergonomics is the science of fitting the job to the worker. Using a tool that is the wrong size, like a short-handled shovel for a ground-level task, forces the worker into an awkward and stressful posture. This repetitive bending and lifting is a well-documented cause of musculoskeletal disorders (MSDs), particularly low back injuries, which falls under the employer's General Duty Clause responsibility.",Health Hazards
"A temporary power cord is run across a main jobsite walkway. To protect it, a supervisor lays two loose 2x4 boards on either side of the cord. This is an inadequate solution because it creates which TWO hazards?",multi-select,It fails to protect the cord from being crushed by heavy equipment.,"Correct: Simple wood planks will not protect the cord from the weight of a forklift or truck, violating the principle of 1926.416(e)(1) to protect cords from damage.",It introduces a significant trip hazard.,Correct: The loose boards themselves create an even larger and more awkward trip-and-fall hazard than the original cord.,It creates a fire hazard from the wood.,Incorrect: The wood itself is not a primary fire hazard in this context.,It violates the color-coding scheme for electrical wiring.,Incorrect: This situation has nothing to do with wire color-coding.,,,,,"1,2","This is an example of a well-intentioned but poorly executed safety measure. While attempting to protect the cord, the supervisor has failed on two fronts. The 'protection' is insufficient to prevent crushing from vehicles (a violation of 1926.416(e)(1)). More importantly, the loose boards have created a much more significant trip hazard, potentially causing more injuries than the cord itself. A proper, beveled cable ramp would be the correct solution.",Electrocution
"A scaffold has been erected and inspected by a competent person. Later in the day, a foreman directs a laborer to remove the mid-rail on one section to make it easier to load materials onto the platform. This action is a serious violation because:",multiple-choice,Only a competent person is authorized to modify a scaffold.,"Correct: 29 CFR 1926.451(f)(7) states that scaffolds shall be erected, moved, dismantled, or altered only under the supervision and direction of a competent person. The foreman and laborer are making an unauthorized and dangerous modification.",The mid-rail is the primary anchor point for fall protection.,Incorrect: Mid-rails are not anchor points. They are part of the guardrail system.,The top rail is now considered a single point of failure.,"Incorrect: While true, the core violation is the unauthorized modification of a safety system.",Loading materials is not allowed on that type of scaffold.,"Incorrect: The issue is not the loading itself, but the unsafe alteration made to facilitate it.",,,,,1,"A scaffold is an engineered system. Once it is inspected and approved by a competent person, it cannot be altered by anyone else. Removing a critical safety component like a mid-rail without the competent person's approval and supervision creates a fall hazard and undermines the integrity of the entire safety system. This is a direct violation of 1926.451(f)(7).",Ladder & Scaffold Safety
A contractor digs an 11-foot deep trench. The competent person has identified the soil as Type C. The contractor chooses to use a trench shield (trench box) as the protective system. The shield is 10 feet tall. What is the most significant hazard present?,multiple-choice,The shield is not tall enough to protect the full depth of the trench.,"Correct: While the shield protects most of the trench, the top 1 foot of Type C soil is unprotected and can easily collapse, potentially burying workers up to their chest. 1926.652(g) requires protection for the full depth.","The trench is deeper than 10 feet and requires shoring, not shielding.",Incorrect: Shielding (a trench box) is a perfectly acceptable protective system for a trench of this depth in Type C soil.,The competent person may have misclassified the soil.,"Incorrect: The violation is with the implementation of the protective system, not necessarily the classification.",The shield does not extend at least 18 inches above the top of the trench.,"Incorrect: While extending the shield above the trench is a best practice to prevent material from rolling in, the primary violation is the failure to protect the full depth of the excavation wall.",,,,,1,"A trench shield must protect workers from the hazard of collapsing walls along the entire depth of the excavation. In this case, the 10-foot shield in an 11-foot trench leaves the top foot of unstable Type C soil exposed. This soil can collapse and pour over the top of the shield, creating a serious caught-in/between hazard for the workers inside.",Caught-In/Between Hazards
A worker on a construction site is observed using a 100-foot extension cord that is missing its grounding pin. The employer has an Assured Equipment Grounding Conductor Program (AEGCP) in place. Why is this still a violation?,multiple-choice,The AEGCP only applies to cords shorter than 50 feet.,"Incorrect: An AEGCP applies to all applicable cord sets, regardless of length.","The AEGCP requires visual inspections, and a missing ground pin is a defect that must be found and corrected.","Correct: A core component of an AEGCP, per 1926.404(b)(1)(iii)(C), is the daily visual inspection of cords and equipment before use. A missing ground pin is a clear defect that should have been caught, and the cord should have been removed from service.","An AEGCP requires GFCIs as a backup, which were not in use.",Incorrect: An AEGCP is an alternative to GFCI protection; they are not required to be used together.,The cord was not the proper gauge for a 100-foot run.,"Incorrect: While possibly a separate violation, the missing ground pin is a direct failure of the AEGCP's inspection requirement.",,,,,2,An Assured Equipment Grounding Conductor Program (AEGCP) is not a 'get out of jail free' card. It replaces the need for GFCIs but imposes strict requirements for inspection and testing. The daily visual inspection is a critical part of this program. A missing ground pin is an obvious and serious defect that this inspection is designed to catch. Using the cord means the AEGCP is not being properly implemented.,Electrocution
"A worker is using a circular saw to rip a long piece of lumber. The saw does not have a functioning riving knife or spreader. The wood pinches the blade, causing the saw to jump violently back toward the operator. This event is known as:",multiple-choice,A blade shatter.,Incorrect: Blade shatter is when the blade itself breaks apart.,A kickback.,"Correct: Kickback is the term for when a saw blade binds in the material and the force of the rotation throws the saw backward toward the operator, or the material backward. It is a primary hazard of circular saws.",An overload fault.,"Incorrect: An overload is an electrical event, not the physical event described.",A guard malfunction.,"Incorrect: The lack of a riving knife caused the event; this is a missing safety feature, not a malfunction of an existing guard.",,,,,2,"Kickback is a well-known and extremely dangerous phenomenon associated with circular saws. It occurs when the saw blade gets pinched in the kerf (the cut). A riving knife or spreader, required by 1926.304(f), is an engineering control specifically designed to hold the kerf open behind the blade and prevent this pinching action, thus preventing kickback.",Caught-In/Between Hazards
"When setting up a guardrail system, the wire rope used for the top rail must meet which TWO requirements?",multi-select,It must be flagged with high-visibility material at least every 6 feet.,"Correct: 29 CFR 1926.502(b)(9)(ii) requires that when wire rope is used for a top rail, it must be flagged every 6 feet with high-visibility material.",It must be at least 3/8-inch in diameter.,Incorrect: The minimum diameter for wire rope top rails is 1/4-inch per 1926.502(b)(9).,It must be made of stainless steel.,Incorrect: The standard specifies the material must be 'wire rope' but does not mandate stainless steel.,It must be rigged so that it does not deflect below 39 inches at any point.,"Correct: The top rail must be able to withstand a 200-pound force with minimal deflection. 1926.502(b)(4) combined with (b)(1) requires the rail to remain at a height of 42 inches (plus or minus 3 inches), meaning it cannot deflect below 39 inches.",,,,,"1,4","When wire rope is used for guardrails, it has specific requirements beyond those for standard rails. 1926.502(b)(9) requires it to be flagged for visibility. Additionally, it must still meet the height and strength requirements of all top rails, meaning it must be tensioned sufficiently to support a 200-pound load without deflecting below the 39-inch minimum height, ensuring it still functions as a barrier.",Fall Protection
What is the primary reason that employees are generally prohibited from working underneath a suspended load?,multiple-choice,The crane's brakes could fail.,Correct: This is one of many potential failure points. The overarching reason is the potential for any component to fail.,The load could be unbalanced and tip.,Correct: An unbalanced load could shift and fall. This is another potential failure. The best answer should be more general. Let's find a better option.,The rigging could fail.,"Correct: Sling failure is a common cause of dropped loads. Again, a specific failure point.","There is a risk of catastrophic failure of the crane, rigging, or load, leading to a struck-by incident.","Correct: This is the best, all-encompassing answer. OSHA standard 1926.1425 prohibits working under a suspended load precisely because any part of the lifting system—from the crane's hydraulics to the wire rope to the slings to the load's attachment points—could fail without warning.",,,,,4,"The area directly beneath a suspended load is often called the 'danger zone' or 'kill zone.' This is because a failure in any part of the lifting system can be catastrophic. OSHA prohibits employees from being in this zone (1926.1425) because there are too many potential points of failure (mechanical, human, environmental) to ever consider it safe. The only protection is to stay out from under.",Struck-By Hazards
A contractor needs to provide access to a 40-foot high scaffold platform. Which of the following access methods is NOT compliant with OSHA standards?,multiple-choice,An attached scaffold stairway or tower.,Incorrect: This is a preferred and compliant method of access.,"A direct access from another scaffold, structure, or personnel hoist.",Incorrect: This is a compliant method of access.,Climbing the scaffold's cross-braces.,Correct: 29 CFR 1926.451(e)(1) explicitly prohibits the use of cross-braces as a means of access. They are not designed to support a person's weight in that manner and do not provide adequate footing or handholds.,"An attached portable or hook-on ladder, properly secured.",Incorrect: This is a compliant method of access for scaffolds.,,,,,3,"Scaffold access must be safe and designed for that purpose. Climbing the cross-braces is one of the most common and dangerous scaffold violations. The braces are structural components, not steps. They are often angled awkwardly and do not provide the stable, uniform rungs needed for safe climbing, which is why 1926.451(e)(1) strictly forbids it.",Ladder & Scaffold Safety
"An employer has a Safety Data Sheet (SDS) for a chemical that states 'Use in a well-ventilated area. If irritation persists, seek medical attention.' This information would primarily be found in which TWO sections of the SDS?",multi-select,Section 2: Hazard Identification.,"Incorrect: Section 2 identifies the hazards (e.g., 'Causes skin irritation'), but not the first aid or control measures.",Section 4: First-Aid Measures.,"Correct: The phrase 'If irritation persists, seek medical attention' is a classic first-aid instruction, which belongs in Section 4.",Section 8: Exposure Controls/Personal Protection.,"Correct: The phrase 'Use in a well-ventilated area' is a recommendation for controlling exposure, which is the topic of Section 8.",Section 11: Toxicological Information.,"Incorrect: Section 11 contains detailed toxicity data, not simple precautionary statements.",,,,,"2,3","The 16-section format of an SDS under the Globally Harmonized System (GHS) is standardized. Section 4, 'First-Aid Measures,' contains information for responders, including when to seek medical help. Section 8, 'Exposure Controls/Personal Protection,' contains information on how to work safely with the chemical, including engineering controls like ventilation and required PPE.",Health Hazards
"A worker is using a 120V portable drill in a damp location. The employer has an Assured Equipment Grounding Conductor Program (AEGCP) instead of GFCIs. The drill has a 3-prong plug, but it is plugged into an older 2-prong extension cord using a cheater plug (adapter). Why is this a severe violation?",multiple-choice,The cheater plug is not color-coded for the AEGCP.,Incorrect: The color coding is administrative; the electrical hazard is the real issue.,It completely defeats the purpose of the equipment grounding conductor and the AEGCP.,"Correct: The AEGCP is designed to assure the integrity of the grounding path. The cheater plug intentionally removes this grounding path, making the entire program useless for this tool and exposing the worker to the exact electrocution hazard the program is meant to prevent.",The drill may not have enough power through a 2-prong cord.,Incorrect: Power delivery is not the safety issue. The lack of a ground connection is the life-threatening hazard.,The extension cord is not rated for outdoor use.,"Incorrect: While possibly another violation, the defeat of the grounding system is the most severe and direct hazard.",,,,,2,"This scenario demonstrates a complete failure to understand or implement an AEGCP. The entire purpose of the program and the third (grounding) pin is to provide a safe path for fault current. Using a 'cheater plug' deliberately breaks this path. In a damp location, this creates a high-probability scenario for a fatal electric shock, rendering the AEGCP completely ineffective.",Electrocution
An ironworker is working at a height of 18 feet on an unfinished steel building. The closest decked floor is two stories (24 feet) below. Which fall protection is required?,multiple-choice,No protection is needed because steel erection has special rules.,"Incorrect: Steel erection has different rules, but protection is still required.",A controlled decking zone (CDZ) must be established.,"Incorrect: A CDZ is for decking work, not general ironworking at height.","The worker must be protected by a guardrail, safety net, or personal fall arrest system (PFAS).",Correct: 29 CFR 1926.760(a)(1) states that each employee engaged in a steel erection activity who is on a walking/working surface with an unprotected side or edge more than 15 feet above a lower level shall be protected.,The worker only needs to be tied off if the wind speed exceeds 30 mph.,Incorrect: Weather conditions do not negate the fundamental requirement for fall protection.,,,,,3,"The OSHA steel erection standard (Subpart R) has its own fall protection threshold. For most steel erection activities, fall protection is required at 15 feet. Since the worker is at 18 feet, they must be protected by one of the conventional methods: a guardrail system, a safety net system, or a personal fall arrest system (PFAS).",Fall Protection
An employer must provide eyewash stations under 29 CFR 1926.50(g) when employees are exposed to corrosive materials. Which TWO of the following are key requirements for these eyewash stations?,multi-select,The station must be located within a 10-second travel time from the hazard.,"Correct: ANSI Z358.1, which is the consensus standard referenced by OSHA, specifies that eyewash stations must be accessible within 10 seconds.",The station must provide a continuous flow of tepid water for a full 15 minutes.,Correct: ANSI Z358.1 requires a 15-minute flushing capability with tepid (lukewarm) water to ensure effective decontamination without causing further injury from water that is too hot or too cold.,The station must be inspected and certified by a third-party agency annually.,Incorrect: The employer is responsible for weekly and annual inspections and maintenance; third-party certification is not an OSHA requirement.,The station must use a sterile saline solution instead of tap water.,"Incorrect: Tepid potable water is the standard requirement. While saline solutions exist, they are not mandated by the standard for plumbed stations.",,,,,"1,2","When an eyewash station is required, it must be effective. OSHA defers to the ANSI Z358.1 standard, which sets two critical performance criteria. First, it must be immediately accessible (within 10 seconds) so a person with chemicals in their eyes can reach it quickly. Second, it must provide a 15-minute continuous flow of tepid water to thoroughly flush the chemical from the eyes.",Personal Protective Equipment (PPE)
A competent person observes a tension crack approximately 2 feet back from the edge of a 10-foot deep excavation. This is a critical indicator of what impending failure?,multiple-choice,A boiling failure due to hydrostatic pressure.,"Incorrect: Boiling is caused by upward water pressure at the bottom of the cut, not indicated by a tension crack at the top.",A surcharge load failure from a nearby spoil pile.,"Incorrect: While a surcharge load can cause failure, a tension crack is a specific sign of soil shear failure.",An impending trench wall shear failure or collapse.,"Correct: A tension crack is a classic sign that the soil mass is beginning to tear away from the stable soil behind it, often preceding a major wall collapse. It requires immediate evacuation of the trench.",The soil was misclassified and is actually stable rock.,Incorrect: Stable rock does not form tension cracks in this manner. This is a sign of soil instability.,,,,,3,"Tension cracks are one of the most significant visual warnings of an impending cave-in. They indicate that the tensile strength of the soil at the surface has been exceeded and that a shear plane is developing. A competent person who sees this, per 1926.651(k), must recognize it as a condition that could result in a possible cave-in and immediately remove workers from the hazard.",Excavation & Trenching
A roofer working on a steep roof (7:12 pitch) is using a personal fall arrest system (PFAS). The anchor point is located on the opposite side of the roof ridge. What is the most significant hazard this setup creates?,multiple-choice,The rope will be damaged by rubbing on the roof ridge.,"Incorrect: While rope abrasion is a concern, it is not the most significant and immediate life-threatening hazard.",A swing fall hazard.,"Correct: If the worker falls, they will swing like a pendulum, potentially striking the side of the building or the roof edge with great force. This can cause severe injuries even if the fall is arrested.","The anchor point is not rated for 5,000 pounds.","Incorrect: The scenario does not state the anchor's rating; the hazard is created by its position, regardless of its strength.",The lanyard may be too long for the fall clearance.,"Incorrect: While total fall distance is always a concern, the swing hazard is the primary issue created by this specific anchor placement.",,,,,2,"Minimizing swing fall hazards is a critical aspect of designing a PFAS. ANSI standards, which OSHA references as best practice, recommend keeping the anchor point as directly overhead as possible. Anchoring on the opposite side of a roof ridge creates a large pendulum effect, converting vertical fall energy into horizontal impact energy, which can be just as deadly as hitting the ground.",Fall Protection
A worker is using a portable abrasive wheel (angle grinder) to cut metal studs. The tool is equipped with a Type 27 (depressed center) grinding wheel. What type of safety guard is required?,multiple-choice,No guard is required if the worker is wearing a face shield.,Incorrect: PPE is never a substitute for a required machine guard.,A simple top guard that covers 180 degrees of the wheel.,"Incorrect: This is the requirement for a bench grinder, not a portable angle grinder.","A specific exposure guard that covers the spindle end, nut, and flange projections, and adjusts to cover the periphery.","Correct: 29 CFR 1926.303(c)(5) requires portable abrasive wheels to be equipped with safety guards that cover the spindle end, nut, and flange projections. The guard must be adjustable to maintain coverage as the wheel wears down.","A self-closing lower guard, similar to a circular saw.","Incorrect: This type of guard is for toothed blades, not abrasive wheels.",,,,,3,"Different types of grinders require different types of guards. For portable angle grinders, OSHA standard 1926.303(c)(5) is specific. The guard isn't just a simple cover; it's an engineered device designed to contain fragments if the wheel shatters, covering the arbor and adjusting to maintain protection. Using the tool without the correct, manufacturer-supplied guard is a serious violation.",Struck-By Hazards
An employer chooses to comply with OSHA's silica standard by using the 'Performance Option' (exposure assessments) instead of following Table 1. Which of the following is a key requirement of this option?,multiple-choice,The employer can use any N95 mask as long as exposure is monitored.,"Incorrect: Respirator selection under the performance option must be based on the measured exposure level, per the respiratory protection standard.",The employer must demonstrate that exposure levels will consistently remain below the Action Level (AL).,"Correct: Under 1926.1153(d)(2), if an employer can rely on 'objective data' to demonstrate that employee exposure to silica will remain below 25 µg/m³ as an 8-hour TWA under all foreseeable conditions, further exposure assessment is not required. This is a high bar to meet.",The employer must only sample the air once per project.,"Incorrect: Sampling must be frequent enough to accurately characterize employee exposures, especially when tasks or conditions change.",The employer is exempt from creating a written exposure control plan.,Incorrect: A written exposure control plan is required regardless of whether the employer uses Table 1 or the performance option.,,,,,2,Opting out of the prescriptive Table 1 for silica control means an employer must take on the burden of proving safety through air monitoring. The 'Performance Option' or 'Objective Data' pathway (1926.1153(d)) requires a rigorous assessment to show that exposures are kept below the Action Level of 25 µg/m³. This data must be scientifically valid and representative of the actual work conditions.,Health Hazards
A crane's wire rope shows signs of heat damage from contacting a power line. What is the required action?,multiple-choice,The rope's capacity should be permanently derated by 50%.,Incorrect: Derating is not an acceptable action for this type of damage.,The damaged section can be cut out and the rope re-spliced.,Incorrect: Splicing is not permitted for this type of damage on a crane's primary hoist line.,The rope must be removed from service immediately.,"Correct: 29 CFR 1926.1413(a)(2)(v) lists 'heat damage from any source' as a critical removal criterion for running wire rope on a crane. Electrical arcing anneals the steel, making it brittle and unsafe for any load.",The rope should be lubricated and re-inspected after one week.,Incorrect: Lubrication cannot repair the metallurgical damage caused by extreme heat. The rope is permanently compromised.,,,,,3,"The criteria for removing a crane's wire rope from service are absolute. Electrical contact causes intense, localized heating that fundamentally changes the steel's properties, creating a weak and brittle spot that is invisible to the naked eye but will fail under load. Per 1926.1413, any sign of heat damage is grounds for immediate removal.",Electrocution
"A framer is using a pneumatic nailer with a 'contact trip' trigger to rapidly install sheathing. He stumbles while walking, and the gun, which he is holding with his finger on the trigger, makes contact with his leg and fires. Which TWO factors contributed to this incident?",multi-select,The use of a contact trip trigger instead of a sequential trip trigger.,"Correct: A contact trip trigger allows the tool to fire whenever the nose is bumped, as long as the trigger is depressed. A sequential trigger would have prevented this, as it requires the nose to be depressed before the trigger is pulled.",The failure to properly inspect the tool before use.,"Incorrect: The tool functioned as designed (albeit a less safe design); this was a usage error, not a tool defect.",The worker improperly carried the tool with his finger on the trigger.,Correct: This is a critical work practice error. Proper training dictates that a worker's finger should never be on the trigger except at the moment of firing.,The air compressor pressure was set too high.,Incorrect: The pressure affects the force of the nail but not the mechanism of the accidental discharge.,,,,,"1,4","This is a classic nail gun injury scenario. It highlights the combined risk of a specific type of equipment (contact trip trigger) and an unsafe work practice (finger on the trigger). OSHA 1926.302(b) requires that nailers have a safety device on the muzzle, and for most applications, a sequential trigger is far safer because it prevents the exact 'bump fire' accident described.",Struck-By Hazards
